u_mag,g_mag,r_mag,i_mag,z_mag,ra,dec
19.287.737,17.996.302,17.517.662,17.284.685,17.211.569,1.902.138.397,2.218.443.835
19.116.852,16.799.809,15.859.614,15.524.484,15.393.232,1.902.135.636,2.205.752.178
19.398.664,17.935.041,17.464.102,17.285.839,17.150.537,1.902.652.865,219.972.187
17.970.995,16.734.135,16.101.151,15.862.271,15.726.251,1.902.710.329,2.204.474.575
18.260.427,17.285.263,17.000.877,1.689.847,16.908.587,1.902.211.314,2.242.693.305
18.910.069,17.829.029,17.407.181,17.309.084,17.325.712,1.902.604.477,2.248.944.072
18.023.329,16.698.467,16.237.244,16.074.339,16.084.467,1.902.121.211,2.294.471.939
17.151.052,15.980.442,15.595.318,15.420.118,15.416.551,1.902.312.332,2.290.298.405
17.763.105,16.824.106,16.532.103,16.449.039,16.408.432,1.902.634.053,2.299.023.012
19.634.912,17.992.746,17.415.419,17.169.584,17.108.459,1.902.237.573,2.298.592.456
18.736.971,17.718.315,17.432.987,1.734.148,17.332.966,1.902.695.882,2.331.407.754
19.952.267,17.541.931,16.468.027,16.061.766,15.859.344,1.902.261.185,2.373.911.142
18.416.353,16.892.281,16.273.548,16.067.072,15.989.591,1.902.554.361,2.384.111.113
17.515.812,16.384.094,16.006.588,15.899.467,15.884.932,1.902.610.185,2.379.643.143
17.491.035,16.426.348,16.044.113,15.900.999,15.835.687,1.902.629.401,2.417.580.121
17.420.198,16.451.403,16.102.257,1.596.142,15.936.837,1.902.415.069,2.462.891.579
19.174.944,17.313.145,16.587.185,16.371.233,1.624.189,1.902.543.138,2.490.880.337
19.176.699,17.669.399,170.924,16.870.016,16.817.024,1.902.413.021,2.010.189.093
18.246.641,17.363.926,17.051.323,16.920.849,16.930.452,1.902.334.042,2.047.563.567
19.531.521,17.641.731,16.929.344,16.657.555,16.541.401,1.902.298.325,203.700.977
18.476.301,17.472.837,1.708.972,16.923.452,16.884.226,1.902.129.978,2.080.897.882
18.337.729,17.424.101,17.100.874,16.987.173,16.938.597,1.902.248.653,2.084.497.906
19.546.494,17.990.366,17.404.547,17.191.648,17.047.855,1.902.277.056,208.495.254
18.761.841,17.503.422,1.711.912,16.908.974,16.831.472,1.902.404.857,2.096.247.791
19.252.193,17.383.478,16.689.484,16.456.768,16.311.508,1.902.471.726,2.082.633.679
17.297.617,15.897.597,15.384.308,15.171.724,15.089.793,1.902.650.795,2.085.181.116
1.778.932,16.624.619,16.197.834,1.600.149,15.940.591,1.902.226.609,2.032.476.431
19.989.885,17.676.584,16.596.758,16.172.873,15.917.861,1.902.313.587,2.027.663.858
17.669.193,16.257.778,15.715.383,15.540.572,15.452.482,1.902.628.073,202.018.151
18.257.624,17.366.791,17.152.891,17.067.158,17.043.743,1.901.544.086,20.696.408
17.402.832,16.101.013,1.564.807,15.491.305,15.448.141,1.902.536.057,206.252.055
19.703.016,17.163.248,16.048.416,15.625.725,15.387.624,1.902.650.017,2.067.734.829
18.647.724,17.158.628,16.636.871,16.480.129,16.396.942,1.902.794.247,2.070.395.857
18.638.571,17.574.169,17.174.038,16.937.237,16.812.819,1.902.314.663,210.951.446
19.470.884,17.852.026,17.231.468,169.848,16.880.995,1.902.329.002,2.102.392.019
19.742.249,17.301.781,16.058.004,15.811.768,152.416,190.253.477,2.099.441.148
18.028.929,17.207.388,16.961.063,16.859.835,16.851.948,1.905.234.305,2.404.186.185
17.007.505,15.673.067,15.218.996,15.047.653,15.010.244,1.905.255.146,2.395.246.869
19.254.694,17.533.705,16.895.414,16.635.454,16.543.959,1.905.279.394,2.395.915.664
18.018.961,1.643.387,15.875.058,15.657.537,15.560.273,1.906.534.245,2.390.467.113
17.822.327,16.879.827,16.615.997,16.364.775,16.454.554,1.906.619.259,2.395.308.081
17.654.631,16.503.078,16.117.283,15.990.913,15.946.107,1.905.349.778,244.155.281
18.151.237,17.060.843,16.607.548,16.497.458,16.462.753,1.905.415.396,2.427.398.684
19.740.852,17.201.477,16.071.045,15.604.674,15.337.404,1.905.475.931,2.439.437.012
18.262.203,16.787.884,16.218.849,16.004.572,15.883.739,1.906.546.045,2.446.893.385
19.451.185,17.055.138,15.910.319,15.447.351,15.160.594,1.906.591.422,2.440.933.811
1.854.879,16.657.784,15.909.431,15.620.525,15.486.176,1.906.643.284,2.442.172.255
19.317.644,17.153.637,16.278.784,15.971.648,15.809.527,1.904.905.908,2.484.407.605
18.196.257,16.860.237,16.271.702,16.034.042,15.933.207,1.905.336.212,2.479.737.402
17.208.824,15.813.915,15.293.736,15.100.546,15.071.459,1.905.480.412,2.485.533.614
20.264.194,1.760.454,16.425.838,15.962.483,1.573.985,1.905.489.286,2.479.271.811
19.530.939,17.389.975,16.490.707,16.145.676,15.967.927,1.905.086.583,214.977.677
16.294.054,15.317.455,15.546.171,15.739.834,15.880.786,1.905.139.342,2.143.452.334
19.497.547,17.237.108,16.341.982,1.605.649,15.852.234,1.905.187.883,2.151.540.068
19.063.379,16.988.064,16.181.866,15.878.822,15.744.311,190.525.737,2.178.302.786
20.098.162,17.689.785,16.751.997,1.645.145,16.273.062,1.905.268.918,2.178.437.551
18.978.601,17.650.991,17.193.914,17.016.266,16.945.332,1.906.389.287,2.191.515.184
18.395.088,16.289.421,15.489.154,15.268.843,15.106.847,1.902.817.163,2.231.870.302
19.025.648,17.457.897,16.822.998,1.659.811,16.529.314,190.504.298,2.234.447.671
19.492.983,17.855.389,17.262.449,17.025.621,16.971.901,1.905.337.872,224.007.789
18.637.772,16.887.695,16.296.143,16.068.987,160.114,190.551.696,2.239.762.683
20.568.546,17.979.597,16.602.234,15.974.279,15.682.179,190.520.402,2.230.042.431
19.803.318,17.240.625,16.045.469,15.562.841,1.531.417,1.906.421.144,2.219.552.664
18.266.321,1.713.036,16.738.581,16.604.631,16.546.721,1.906.525.379,222.303.812
17.089.048,15.891.239,15.431.193,15.271.554,15.204.518,1.906.648.861,2.238.251.392
18.638.376,17.610.178,17.252.861,17.131.651,17.102.871,1.904.928.661,2.277.234.279
18.348.991,17.238.722,16.850.819,16.700.289,16.688.478,1.905.143.128,2.270.540.167
19.219.959,17.836.367,17.237.389,16.952.602,16.769.085,1.905.446.855,2.281.770.673
18.487.879,16.447.447,15.693.547,1.549.509,15.370.727,1.904.262.706,2.221.289.109
197.472,17.810.575,169.725,16.665.668,16.483.309,1.904.348.151,2.270.394.091
20.302.536,17.743.799,16.604.986,16.165.895,15.976.555,1.902.969.597,2.321.647.385
20.033.268,17.691.122,16.752.842,16.440.458,16.259.335,1.903.052.181,2.316.750.328
18.638.247,17.667.896,17.359.529,17.288.185,1.724.579,1.903.325.648,2.321.205.282
17.317.221,16.125.269,15.716.519,15.579.709,15.550.019,1.904.277.715,2.320.796.919
18.222.511,17.022.911,16.554.575,16.370.525,16.331.446,1.904.283.335,2.311.986.374
1.961.694,17.730.986,1.702.383,16.808.359,16.683.105,190.316.603,2.364.352.126
18.802.103,17.692.945,17.253.012,17.059.837,1.704.804,1.903.049.333,2.134.176.447
18.935.741,16.795.208,15.908.393,15.605.602,15.359.076,1.904.206.371,21.651.748
17.499.775,16.093.884,15.626.471,15.537.843,15.439.648,1.904.260.521,2.163.652.872
1.823.439,16.678.661,1.611.187,15.964.328,15.829.942,1.904.346.616,2.174.514.749
18.061.407,1.683.519,16.407.326,16.273.441,1.614.329,1.904.346.108,2.171.184.993
19.792.896,17.533.644,16.461.405,16.156.353,1.586.552,1.904.221.632,2.218.883.446
18.076.893,16.352.783,15.688.457,15.573.179,15.352.135,1.904.290.885,2.215.700.038
19.632.895,17.486.851,16.604.105,16.468.664,15.978.802,1.904.278.225,2.206.473.247
17.624.189,16.624.008,1.621.117,16.097.965,16.015.339,1.903.186.746,2.257.197.909
18.067.837,16.947.937,1.648.844,16.339.731,16.309.851,1.903.332.671,2.244.990.281
17.867.407,16.924.498,16.626.562,16.592.186,16.433.727,1.904.362.757,2.256.671.983
18.672.066,16.897.436,16.226.828,1.604.442,15.816.936,1.904.345.793,2.245.559.018
19.182.827,17.887.308,17.423.349,17.263.401,17.158.182,1.902.956.114,2.298.139.508
17.720.837,16.486.666,16.065.762,1.595.564,15.896.996,1.903.118.679,2.292.381.821
17.740.414,16.785.755,16.470.888,1.631.868,1.623.431,1.904.219.129,2.292.290.632
19.125.458,17.419.739,16.725.847,16.563.421,16.373.209,1.904.340.711,230.367.017
18.531.013,17.009.296,16.474.617,16.281.891,16.214.756,1.903.399.822,2.365.963.507
19.214.739,17.949.879,1.740.185,17.214.352,17.107.134,1.904.203.162,2.379.207.555
19.019.958,17.296.181,16.637.341,16.404.167,16.259.836,190.424.873,2.374.932.565
18.452.629,17.567.369,17.300.194,17.191.761,17.134.457,1.902.904.602,2.413.625.647
1.907.222,16.853.857,16.005.581,15.668.274,15.498.866,1.903.172.928,241.044.896
19.793.541,17.544.245,16.609.791,16.253.849,16.019.415,1.904.212.246,2.415.434.293
19.713.955,17.335.407,16.211.073,15.747.266,15.523.042,1.903.409.597,2.456.258.566
18.222.101,17.235.054,16.907.923,16.771.595,16.796.965,1.904.376.052,2.450.937.731
20.158.283,17.695.076,16.672.285,16.271.067,16.090.622,1.904.398.592,2.457.296.159
1.958.213,17.019.508,15.904.145,15.461.164,1.523.178,1.903.467.819,2.001.925.569
18.777.578,17.096.125,16.474.699,16.222.845,16.093.683,1.904.280.746,2.007.060.095
18.141.317,16.594.248,15.998.691,1.579.165,15.705.891,1.903.043.038,2.044.666.598
18.710.232,1.692.782,1.624.419,15.981.517,15.860.128,1.904.238.877,2.050.599.665
1.875.329,17.710.375,17.317.974,17.173.494,17.102.383,1.903.176.999,2.082.655.291
19.752.314,17.645.485,16.679.583,16.311.556,16.092.979,1.902.962.333,201.977.968
1.823.597,16.529.772,15.895.435,15.664.949,15.552.238,1.903.132.639,2.033.416.293
18.628.057,17.134.869,16.657.652,16.478.561,16.460.073,1.902.906.103,2.058.683.143
17.942.278,16.679.144,16.154.026,16.052.113,1.597.244,1.904.331.727,2.075.634.876
20.306.307,17.808.884,16.713.289,16.341.085,16.078.701,1.903.392.686,210.390.499
19.035.259,17.783.863,1.735.795,17.215.143,17.110.527,1.904.205.731,2.111.404.126
17.158.758,15.995.026,15.531.819,15.360.203,15.286.382,1.904.213.068,2.113.264.421
18.550.722,17.236.786,16.759.722,16.607.527,16.520.035,1.904.367.058,2.099.919.431
18.102.571,16.695.065,1.618.018,15.992.141,15.912.119,1.904.539.549,2.390.786.854
20.473.753,17.754.686,16.374.033,15.505.946,15.094.742,1.904.680.815,2.400.408.819
17.261.253,15.931.702,15.465.967,15.277.593,15.198.275,1.907.071.248,2.391.076.552
16.987.362,15.778.663,15.377.559,15.200.458,15.145.887,1.907.241.097,2.397.568.823
1.824.246,17.246.765,16.922.928,16.776.539,16.736.692,1.907.230.638,2.392.842.149
18.993.111,17.300.337,16.618.069,16.353.321,16.220.486,190.737.879,2.400.793.727
19.278.984,17.949.158,17.440.208,17.240.986,17.167.555,1.904.830.531,2.439.401.123
18.318.483,17.302.469,16.911.011,16.702.223,16.767.767,1.907.034.148,2.427.270.018
18.029.846,16.609.247,16.045.979,15.825.087,1.576.216,1.907.155.199,2.444.981.464
18.955.168,16.807.302,15.940.359,15.593.434,15.422.637,190.732.655,2.443.794.341
1.952.972,17.035.717,15.937.654,15.467.368,15.343.714,1.907.281.543,2.427.524.032
19.449.718,17.106.159,16.108.841,1.568.167,15.590.215,1.907.458.827,2.427.669.068
18.497.896,17.303.881,16.816.177,16.606.813,16.517.912,1.904.444.297,2.481.650.067
18.582.943,17.450.609,17.036.676,16.882.175,16.824.741,1.904.484.483,2.481.772.776
17.707.335,16.290.253,15.784.471,15.613.059,15.531.791,1.904.532.083,2.486.026.889
18.389.511,17.096.128,16.656.507,16.498.333,16.432.051,1.904.534.002,24.836.819
19.027.462,17.914.204,17.521.858,17.400.206,17.348.549,1.904.510.514,2.477.054.336
19.446.243,17.308.243,16.405.485,16.064.783,15.896.454,1.904.561.044,2.487.300.965
19.196.127,17.095.913,16.200.384,15.874.462,15.716.743,1.904.524.911,2.478.271.491
19.073.967,16.869.106,16.012.835,15.650.367,15.473.865,1.904.564.625,2.484.899.772
19.944.197,1.757.695,1.659.568,16.243.786,16.094.101,1.904.737.862,2.475.066.595
1.788.575,16.294.065,15.659.534,15.306.603,15.352.455,1.907.218.035,2.485.427.003
19.688.154,17.199.007,16.107.239,15.684.245,15.492.667,1.907.221.229,2.482.170.295
18.677.376,17.537.075,17.317.047,17.295.237,17.299.932,1.904.865.451,2.154.642.825
20.307.835,17.910.921,16.909.889,16.498.173,16.233.315,1.904.666.868,2.154.293.755
19.102.808,17.773.125,1.725.054,17.069.214,16.994.953,1.907.074.049,2.135.078.304
18.315.306,16.971.046,16.425.255,16.228.773,16.120.676,1.907.105.462,2.134.994.097
18.948.433,17.997.845,17.731.766,17.599.075,17.581.507,1.907.304.838,2.148.255.879
18.812.254,16.615.702,1.571.774,15.357.861,15.223.354,1.907.357.272,2.152.152.863
19.208.204,17.934.496,17.410.507,17.191.591,17.114.223,190.749.381,2.154.688.866
19.472.139,17.763.695,17.042.967,16.784.485,16.701.036,1.907.474.858,2.144.883.359
18.858.498,17.836.018,17.750.557,17.766.985,17.821.835,1.904.871.475,2.178.161.519
18.379.265,17.147.583,16.697.588,16.547.459,16.481.813,1.903.089.198,2.305.462.336
194.834,16.976.131,15.764.053,15.311.604,15.100.573,1.903.224.039,2.362.867.826
18.661.728,16.784.985,16.035.133,15.781.788,15.637.528,1.903.522.597,236.123.472
20.349.476,17.757.334,16.550.825,16.079.832,15.802.066,19.036.022,2.346.424.361
17.968.292,17.007.051,16.789.145,16.736.734,1.670.002,1.902.155.364,2.118.443.155
17.759.943,16.146.441,15.478.834,15.204.926,15.065.145,1.902.852.736,2.129.010.493
19.858.608,17.216.349,15.974.475,15.473.848,15.186.154,1.902.859.398,2.131.170.994
17.745.775,1.624.358,15.653.141,15.463.379,15.387.489,1.903.146.431,2.120.810.468
17.158.188,16.124.195,15.677.299,15.533.434,15.459.494,1.903.014.805,217.032.953
18.481.922,17.399.246,16.890.823,16.685.724,16.606.064,190.300.847,2.165.155.889
19.117.435,17.366.945,16.547.628,16.264.465,16.090.624,1.903.014.348,216.419.256
18.756.821,17.558.144,17.060.326,16.792.912,16.777.315,1.903.236.878,2.177.572.313
17.487.463,16.538.261,16.132.633,15.991.116,15.957.575,1.903.623.251,217.641.383
20.304.035,17.585.104,16.189.243,15.519.277,15.114.933,1.903.690.395,2.161.021.319
17.974.464,16.838.659,16.975.172,17.124.517,17.170.399,1.903.672.644,2.172.162.326
17.011.362,15.998.893,15.505.964,15.326.386,15.381.876,1.903.535.975,2.212.232.594
1.826.392,17.089.975,16.599.537,1.641.888,16.283.346,1.902.992.096,2.299.570.502
18.776.588,17.768.908,17.324.064,17.147.068,17.060.236,1.903.358.352,2.295.079.518
18.499.563,17.591.263,17.315.054,17.158.621,1.722.522,190.366.054,2.289.332.882
1.764.263,16.120.995,15.480.082,15.180.329,15.142.716,190.366.104,2.287.468.273
19.396.788,17.216.892,16.358.707,160.319,15.873.123,1.903.447.855,2.329.869.713
17.750.149,16.706.984,16.647.881,16.649.488,16.718.435,1.902.147.927,2.376.425.116
17.943.581,16.470.753,15.889.203,15.675.743,15.587.888,1.903.004.756,2.380.975.912
20.559.404,17.767.242,16.467.564,15.897.341,15.586.574,1.903.078.574,2.375.940.308
2.001.329,17.381.546,16.161.264,15.672.346,15.343.166,1.902.152.279,2.408.731.277
17.316.618,15.997.745,15.559.206,15.416.702,15.365.063,1.902.993.913,2.417.043.357
20.176.998,1.754.505,16.267.603,15.749.489,15.450.159,1.903.544.388,2.424.702.298
1.741.473,16.464.369,16.133.034,16.003.326,16.006.088,190.216.765,2.454.291.824
1.735.486,16.310.093,15.940.767,15.833.628,15.782.706,190.285.157,246.166.884
18.384.222,16.244.518,15.421.268,1.515.706,15.013.377,1.903.562.263,2.466.027.573
20.096.342,17.593.925,16.436.125,16.020.264,15.766.916,1.903.497.767,249.431.522
18.549.152,17.536.285,17.227.999,17.102.249,17.085.924,1.903.147.579,204.387.442
20.239.269,17.655.893,16.373.421,15.783.444,15.454.544,1.903.668.858,2.036.888.075
18.918.692,17.743.368,17.321.587,17.150.736,17.076.824,1.902.174.488,2.082.165.491
1.955.088,17.400.505,16.542.793,16.213.732,16.082.136,1.902.167.801,2.033.273.714
17.891.777,16.697.592,16.229.322,1.606.155,15.983.308,1.902.147.374,2.023.518.263
18.427.141,17.352.648,16.905.182,16.758.238,1.668.055,1.903.155.379,2.032.059.292
18.636.663,17.812.338,17.523.085,17.380.592,17.374.052,1.903.304.895,2.029.612.272
1.872.646,17.599.394,17.182.812,1.703.904,16.983.576,1.903.016.367,2.067.484.213
19.095.209,17.967.573,17.537.777,17.394.957,17.350.927,1.903.139.515,2.066.065.666
19.104.179,17.703.371,17.178.898,16.991.119,16.891.218,1.903.636.926,2.069.147.289
19.420.469,17.481.985,16.637.714,16.269.836,16.043.249,1.903.640.602,2.062.675.167
18.353.273,16.603.098,15.914.998,15.646.283,1.550.567,1.903.712.408,2.063.148.347
20.263.969,17.651.453,16.306.864,15.444.097,15.004.225,1.903.592.742,2.055.453.189
18.193.775,16.422.014,1.577.533,15.543.929,1.542.579,1.903.222.991,2.101.286.236
20.716.894,1.791.416,16.552.603,15.877.113,15.453.221,1.903.244.184,2.105.810.677
19.438.398,17.735.275,17.095.634,16.824.423,16.704.155,1.903.993.236,2.402.502.381
18.149.628,17.232.107,16.928.797,1.670.908,16.730.839,190.402.883,2.397.406.355
17.692.162,1.668.919,16.348.701,16.188.572,16.164.177,1.908.415.574,239.249.218
18.522.827,17.495.544,17.096.424,16.911.596,16.846.865,1.908.524.153,2.402.817.346
18.494.642,17.380.037,16.933.975,16.712.271,16.653.442,1.908.513.059,2.395.521.207
16.756.218,15.665.124,1.529.286,15.122.215,15.083.506,1.908.633.052,2.402.599.308
16.976.913,15.787.052,15.367.865,15.251.755,15.195.374,190.402.379,2.430.755.428
20.538.546,17.936.438,16.608.549,15.995.413,15.660.309,1.904.051.665,2.441.280.364
18.151.321,16.765.184,16.232.735,15.996.081,15.896.307,1.908.624.056,2.440.450.243
1.750.827,16.042.824,15.472.967,15.271.878,15.200.274,1.908.976.716,2.432.828.879
1.944.405,17.129.522,16.028.145,15.637.747,15.408.233,1.909.888.833,2.439.647.995
16.939.857,15.919.355,1.567.676,15.389.302,15.381.255,1.909.883.638,2.431.784.847
18.682.243,17.821.146,17.521.336,17.441.656,17.439.915,1.908.496.981,247.325.986
19.620.693,17.517.475,16.617.294,163.489,1.610.681,1.908.838.207,2.469.634.514
18.602.285,1.672.039,15.960.022,15.705.015,1.560.902,1.909.060.789,2.479.528.743
18.296.576,16.846.176,16.302.025,16.122.318,1.607.654,1.903.836.797,2.149.648.509
19.071.943,16.771.639,15.843.301,15.540.405,15.331.182,1.904.162.672,2.153.878.548
18.572.271,17.256.357,16.795.172,16.619.848,1.653.702,1.908.747.965,2.138.486.109
19.448.744,17.873.505,17.223.129,16.952.906,16.799.618,1.908.787.784,2.139.022.766
18.812.851,17.766.268,17.292.416,17.114.613,17.066.301,1.909.967.034,2.134.494.955
20.230.293,17.786.285,16.677.221,16.171.238,15.937.663,1.903.747.564,2.191.648.462
16.453.638,15.307.822,1.511.053,1.507.311,15.107.593,1.908.427.206,2.196.322.402
19.096.878,1.719.474,16.477.457,16.193.007,16.063.025,1.908.824.628,219.640.727
19.052.052,17.989.857,17.587.479,17.457.922,17.373.491,1.909.870.119,2.188.975.722
17.579.819,16.386.255,15.989.151,15.791.472,15.751.941,1.904.165.213,2.240.585.753
19.246.588,17.150.223,1.638.769,16.054.907,1.593.093,1.908.437.917,2.238.161.416
20.280.859,17.887.861,16.880.018,16.530.724,16.344.841,1.908.508.816,2.225.391.942
17.699.902,16.163.248,15.567.628,15.362.674,15.263.705,1.908.772.689,2.234.298.128
18.070.784,16.723.652,16.262.308,16.113.705,16.045.652,1.903.994.242,22.816.712
19.213.743,16.805.166,15.615.973,15.152.452,15.000.402,1.904.031.487,2.264.097.068
20.523.579,17.945.183,1.650.474,15.911.994,15.535.212,1.904.016.652,2.273.625.062
18.875.919,17.730.797,17.338.026,172.082,17.165.031,1.908.845.975,227.536.293
18.292.255,16.692.638,16.066.048,15.822.585,15.749.763,1.905.427.031,2.274.570.268
17.749.344,16.591.543,16.111.158,15.978.729,15.944.992,1.906.383.896,22.691.829
1.791.807,16.732.683,16.321.068,16.192.266,16.148.861,1.906.423.894,2.261.838.403
17.353.045,16.233.713,15.785.282,15.645.576,15.613.412,1.905.070.283,2.311.494.657
20.150.995,17.550.167,16.273.952,15.708.549,15.413.145,1.905.289.932,2.315.058.523
18.547.609,17.521.584,17.204.935,17.041.143,17.006.283,1.905.294.174,230.373.799
19.682.072,17.857.368,17.025.579,16.651.548,16.495.111,1.905.547.219,2.309.765.994
17.932.283,17.049.038,16.718.647,1.660.541,16.584.274,1.905.097.225,2.350.055.841
18.764.599,17.912.157,17.626.953,17.537.022,17.524.672,1.905.309.798,2.351.196.012
18.764.444,16.817.371,16.074.654,15.816.769,15.706.697,1.905.362.928,2.355.718.106
18.939.571,17.730.423,17.269.079,17.088.726,17.019.533,1.905.533.696,236.215.931
18.731.993,16.930.805,16.305.361,16.054.211,15.945.951,1.906.609.045,235.128.316
1.856.745,17.113.798,16.614.273,16.440.653,16.269.983,1.905.003.632,2.120.038.939
18.001.501,16.945.679,16.613.228,16.516.718,1.642.313,1.905.206.375,2.134.129.597
17.664.057,16.713.158,16.428.686,16.301.043,16.254.263,1.905.357.802,2.129.039.486
18.987.091,17.606.819,17.114.624,16.869.261,16.741.121,1.905.332.528,2.121.568.414
17.427.298,16.508.661,16.233.591,16.126.123,1.606.365,1.905.425.247,213.097.916
17.498.281,16.220.818,15.831.798,15.600.925,15.650.212,1.905.066.666,2.171.831.007
18.406.885,1.638.056,15.598.475,1.527.202,1.511.179,1.905.466.088,2.160.921.304
19.900.566,17.993.664,1.733.713,17.088.444,16.977.209,1.904.971.638,2.165.487.297
18.586.468,17.240.946,16.786.474,1.667.663,16.652.489,1.906.344.385,2.172.706.559
